ACM,Wednesday,1300,1400,Weekly
Green Society,Tuesday,1900,2000,Weekly
Japanese Club,Friday,1800,1900,Weekly
Club Baseball,Monday,2000,2200,Weekly
Anime Kurabu,Friday,1400,1700,Weekly
Active Minds,Tuesday,1800,1900,Biweekly
Aeronautics and Rocket Club,Tuesday,1800,1900,Weekly
Chemistry Society,Wednesday,1930,2030,Biweekly
American Marketing Association,Wednesday,1730,1900,Biweekly
American Society for Microbiology,Monday,1900,2030,Biweekly
AnthroSociety,Wednesday,1600,1700,Weekly
Astronomy Club,Tuesday,1930,2030,Weekly
Ballet Folklorico,Wednesday,1900,2100,Weekly
Baptist Student Ministry,Thursday,1900,2000,Weekly
Biomedical Engineering Society,Thursday,1730,1830,Monthly
Business Student Council,Monday,800,900,Weekly
Center for Collegiate Recovery,Monday,1300,1400,Weekly
Chinese Club,Thursday,1500,1600,Weekly
ClayFusion,Tuesday,1745,1815,Biweekly
Club Ultimate Frisbee,Monday,2000,2200,Weekly
Global Brigades,Tuesday,1930,2030,Biweekly
GlobeMed,Tuesday,1730,1830,Weekly
Martial Arts Club,Tuesday,1930,2100,Weekly
Men's Lacrosse,Tuesday,2000,2200,Weekly
Men's Lacrosse,Thursday,2000,2200,Weekly
Paintball Club,Wednesday,2000,2100,Weekly
Pre-Dental Society,Wednesday,1930,2030,Biweekly
Pre-Occupational Therapy Society,Wednesday,1900,2000,Biweekly
Pre-Optometry Professional Society,Thursday,1900,2000,Biweekly
Rugby Club,Tuesday,1730,2000,Weekly
Rugby Club,Tuesday,1730,2000,Weekly
Roadrunner Swimming,Monday,700,2000,Weekly
Roadrunner Swimming,Tuesday,700,2000,Weekly
Roadrunner Swimming,Wednesday,700,2000,Weekly
Roadrunner Swimming,Thursday,700,2000,Weekly
Roadrunner Swimming,Friday,700,2000,Weekly
Rowdy Films,Monday,1530,1630,Biweekly
Spectrum,Wednesday,1900,2030,Biweekly
Student Art Society,Wednesday,1400,1500,Weekly
Students For Life,Thursday,1730,1830,Weekly
Table Tennis Club,Monday,1930,2130,Weekly
Table Tennis Club,Thursday,1930,2130,Weekly
The Impact Movement,Thursday,1915,2015,Weekly
Women's Club Lacrosse,Tuesday,1800,2000,Weekly
Women's Club Lacrosse,Thursday,1800,2000,Weekly
